,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_fit_intercept,param_gamma,param_l1_ratio,param_svm_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
655,0.0024350881576538086,0.00017563535527014617,0.001368093490600586,9.939812103109194e-05,0.03,True,0.01,0.75,1000,"{'alpha': 0.03, 'fit_intercept': True, 'gamma': 0.01, 'l1_ratio': 0.75, 'svm_C': 1000}",0.6666666666666666,0.5,0.5,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.4666666666666667,0.20816659994661327,1344
1051,0.0025820016860961916,0.0002191538871418949,0.0014188528060913087,7.989978599049765e-05,0.3,True,0.01,0.5,1000,"{'alpha': 0.3, 'fit_intercept': True, 'gamma': 0.01, 'l1_ratio': 0.5, 'svm_C': 1000}",0.6666666666666666,0.5,0.5,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.4666666666666667,0.20816659994661327,1344
108,0.05788729190826416,0.010568390322137796,0.0012428998947143556,0.00017607109402697525,0.001,False,scale,0.5,1,"{'alpha': 0.001, 'fit_intercept': False, 'gamma': 'scale', 'l1_ratio': 0.5, 'svm_C': 1}",0.6666666666666666,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.4666666666666667,0.19436506316151003,1344
1359,0.0019808530807495115,4.6703156941231945e-05,0.0011251449584960937,2.4945648315889793e-05,0.6,False,0.01,1,1000,"{'alpha': 0.6, 'fit_intercept': False, 'gamma': 0.01, 'l1_ratio': 1, 'svm_C': 1000}",0.6666666666666666,0.5,0.5,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.4666666666666667,0.20816659994661327,1344
1451,0.002145814895629883,0.00010064392371862873,0.001188516616821289,3.960677292607852e-05,1,True,0.01,0.5,1000,"{'alpha': 1, 'fit_intercept': True, 'gamma': 0.01, 'l1_ratio': 0.5, 'svm_C': 1000}",0.6666666666666666,0.5,0.5,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.4666666666666667,0.20816659994661327,1344
651,0.0024352788925170897,0.00014573543299422308,0.0013448476791381836,5.2737419034835246e-05,0.03,True,0.01,0.5,1000,"{'alpha': 0.03, 'fit_intercept': True, 'gamma': 0.01, 'l1_ratio': 0.5, 'svm_C': 1000}",0.6666666666666666,0.5,0.5,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.4666666666666667,0.20816659994661327,1344
1355,0.0022305011749267577,0.00021757142658951166,0.0012469053268432616,8.534742110022069e-05,0.6,False,0.01,0.75,1000,"{'alpha': 0.6, 'fit_intercept': False, 'gamma': 0.01, 'l1_ratio': 0.75, 'svm_C': 1000}",0.6666666666666666,0.5,0.5,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.4666666666666667,0.20816659994661327,1344
1147,0.0023174524307250977,3.726284085279402e-05,0.0013336181640625,3.375458133917218e-05,0.3,False,0.01,0.25,1000,"{'alpha': 0.3, 'fit_intercept': False, 'gamma': 0.01, 'l1_ratio': 0.25, 'svm_C': 1000}",0.6666666666666666,0.5,0.5,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.4666666666666667,0.20816659994661327,1344
1443,0.5137484788894653,0.06064386950282487,0.001444840431213379,0.00017725658785150265,1,True,0.01,0,1000,"{'alpha': 1, 'fit_intercept': True, 'gamma': 0.01, 'l1_ratio': 0, 'svm_C': 1000}",0.5,0.5,0.5,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.4666666666666666,0.16329931618554522,1390
422,0.40931015014648436,0.04907099300181617,0.0013649702072143556,0.00022163331226433757,0.01,True,auto,0,100,"{'alpha': 0.01, 'fit_intercept': True, 'gamma': 'auto', 'l1_ratio': 0, 'svm_C': 100}",0.5,0.3333333333333333,0.6666666666666666,0.5,0.6666666666666666,0.5,0.16666666666666666,0.5,0.5,0.3333333333333333,0.4666666666666666,0.14529663145135577,1390
